ID	LON	LAT
6107	13.1222	55.7942
6108	13.1113481	55.7895346
6109	13.1104309	55.7928025
6111	13.09336	55.7908676
6112	13.1296295	55.7990936
6113	13.1028	55.8078
6114	13.1326552	55.7932875
6115	13.1745511	55.7138306
6118	13.2954193	55.8350143
6119	13.2	55.7
6122	13.2995709	55.8362185
6123	13.3033	55.8369
6124	13.3002261	55.8379372
6125	13.3106	55.8403
6126	13.3181	55.8369
6128	13.2881	55.8397
6131	13.2995693	55.8422437
6132	13.3186	55.8386
6133	13.2906	55.8383
6134	13.5519	55.9336
6136	13.5511	55.9403
6137	13.5603	55.9419
6138	13.5539	55.9392
6140	13.5558	55.9428
6141	13.5542	55.9414
6142	13.5533	55.9497
6145	13.5508	55.9319
6148	13.5481	55.9281
6149	13.2244	55.6528
6150	13.5319	55.9261
6151	17.7311	62.6381
6153	17.7422	62.6425
6154	17.7311	62.6381
6163	17.7311	62.6381
6166	18.336	62.8622
6169	18.336	62.8622
6172	18.3436	62.8717
6173	18.336	62.8622
6174	17.6771	62.6252
6177	17.6771	62.6252
6180	18.4473	62.8794
6184	14.1328223	55.758856
6188	14.1328223	55.758856
6189	14.1328223	55.758856
6191	14.1328223	55.758856
6192	14.1328223	55.758856
6193	14.1328223	55.758856
6194	14.1328223	55.758856
6195	14.1225226	55.7567793
6198	14.1225226	55.7567793
6201	14.1206	55.7717
6202	14.1225226	55.7567793
6203	18.1749827	62.8759855
6209	18.1749827	62.8759855
6210	18.3174	63.0165
6214	18.3281	63.0175
6216	18.3283	63.0167
6217	18.3174	63.0165
6218	18.1896	62.806
6220	18.1896	62.806
6221	18.2763	62.9513
6231	18.339997	62.956806
6235	18.339997	62.956806
6237	18.339997	62.956806
6238	18.339997	62.956806
6240	18.339997	62.956806
6241	13.1960732	55.7060213
6242	13.85	55.95
6243	18.4728	62.9169
6244	14.3336	55.5796
6252	14.3336	55.5796
6255	14.334	55.5796
6258	14.3336	55.5796
6268	14.3336	55.5796
6276	14.3336	55.5796
6284	13.9583592	56.0630848
6296	16.6314	49.2771
6390	16.6314	49.2771
6396	16.6314	49.2771
6413	18.1749827	62.8759855
6424	16.2544	49.3853
6434	16.2544	49.3853
6445	16.2544	49.3853
6680	6.4333	51.85
6830	73.1	49.5
6897	1.3	45.0
6898	4.4	51.2167
6900	18.3174	63.0165
6901	18.484	63.324
6903	16.2326	49.4013
6904	16.6166	49.2
6907	-0.6383	51.4083
6908	-0.6383	51.4083
6911	-23.6167	15.1111
6913	13.9707	56.0648
6915	6.3	50.3
6917	18.3174	63.0165
6918	14.334	55.58
6919	8.0	50.3
6920	9.9355	51.5338
6922	8.0	50.3
6923	-0.6383	51.4083
6924	-0.6383	51.4083
6929	68.49	38.48
6931	73.1	49.5
6932	10.8719	47.984
6933	2.49	41.59
6938	37.6322	55.7522
6940	8.3	50.3
6943	-0.6383	51.4083
6944	-0.6383	51.4083
6945	4.45	52.24
6951	16.36	49.42
6956	16.36	49.42
6957	16.36	49.42
6958	3.3	46.0
6959	-1.41	48.5
6960	-1.41	48.5
6961	-3.53333	38.3333
6963	68.48	38.35
6966	-0.6383	51.4083
6967	-0.6383	51.4083
6968	23.5	60.0
6969	23.5	60.0
6970	2.93056	41.7194
6971	2.93056	41.7194
6973	14.7427433	56.0089259
6974	17.898516	62.7920572
6975	14.45	48.3
6976	14.45	48.3
6979	8.26	47.25
6981	30.0	52.3
6982	9.3	52.3
6984	16.2544	49.3853
6986	-2.2207	57.1539
6987	7.62551	48.0683
6989	-2.4333	54.8
6990	5.73	53.448
6992	5.3	50.3
6997	5.5833	51.8333
7000	9.57073	50.9167
7002	6.1	51.3333
7003	7.5	47.5
7008	5.675	52.0
7013	13.287	52.4584
7014	-4.79821	56.5459
7025	11.3396	44.5041
7026	-3.2667	54.4
7028	9.3166	49.5166
7031	8.6667	50.0167
7036	9.5	50.5
7058	-9.07555556	53.08
7061	-1.64293	53.2699
7062	8.26607	50.2981
7063	-13.4811	29.2144
7064	1.1	51.3
7067	15.0	37.3
7068	12.1	42.0
7071	1.33867	48.0717
7072	34.7361	53.7502
7077	-8.25	40.12
7081	-8.42639	40.2077
7092	2.823	49.416
7094	8.65081	49.8724
7096	5.04278	47.3239
7102	8.2372	50.7224
7103	16.2667	49.4167
7106	13.7336	51.051
7107	-1.5733	54.7761
7109	0.5	51.3
7111	-3.16028	55.9494
7117	9.68253	51.5105
7119	8.5	50.0
7120	8.5	50.0
7125	11.0087	49.5955
7126	24.5682	60.1997
7127	24.9871	58.6656
7130	2.56481	44.6447
7133	8.6822	50.1102
7138	8.0167	50.5
7143	5.86667	51.0167
7147	8.67825	50.584
7158	15.5	47.0
7161	10.5	53.5
7162	9.44	52.24
7163	9.73569	52.3721
7164	12.5686	55.675
7165	8.28844	51.3472
7169	9.88682	54.4175
7177	15.0	49.0
7181	11.587	50.927
7183	77.0	35.0
7186	23.8924	54.8969
7192	-5.66364	55.6395
7199	6.9666	50.95
7202	8.50861	50.1797
7203	11.5722	49.631
7208	-3.78181	55.6739
7209	15.2333	52.7333
7213	10.8719	47.984
7217	0.5	48.0
7218	4.49015	52.1611
7223	8.0666	50.3833
7231	8.0666	50.3833
7244	8.26664	50.001
7250	10.1138	51.9183
7255	20.5	50.95
7258	8.5	50.5
7268	10.981	52.6969
7273	13.2995	51.0581
7276	8.5833	50.2
7280	8.2	53.1667
7282	8.01161	50.3827
7287	8.42255	53.3422
7288	6.193019	60.385543
7296	29.0	59.0
7298	10.51	47.04
7305	10.6065	53.476
7307	-2.96591	48.0653
7314	-3.41697	54.3512
7316	5.56667	51.9667
7319	12.1	42.0
7320	1.09849	49.4424
7322	34.0	56.3
7323	38.28	49.0
7327	3.03333	41.7833
7328	3.03333	41.7833
7333	11.5614	46.5438
7337	8.02341	50.8738
7342	-3.00733	53.6473
7343	13.181	52.5339
